attack_name,caught_original_v2,caught_modified_v2,caught_modified_normalized_v2
Alzantot,0.9598997493734336,0.9398496240601504,0.9398496240601504
BAE,0.9622926093514329,0.8944193061840121,0.8944193061840121
Bert-Attack,0.9604743083003953,0.9354413702239789,0.9354413702239789
Bidirectional Text,0.9475587703435805,1.0,1.0
Deep Word Bug,0.9467140319715808,0.9609236234458259,0.9609236234458259
Deletion Characters,0.9475587703435805,0.976491862567812,0.976491862567812
Diacritcs,0.9475587703435805,0.9475587703435805,0.9475587703435805
Emoji Smuggling,0.9475587703435805,1.0,1.0
Full Width Text,0.9475587703435805,1.0,0.9475587703435805
Homoglyphs,0.9475587703435805,1.0,0.9475587703435805
Numbers,0.9475587703435805,1.0,1.0
PWWS,0.9499217527386542,0.9233176838810642,0.9233176838810642
Pruthi,0.9377289377289377,0.945054945054945,0.945054945054945
Spaces,0.9475587703435805,1.0,0.9475587703435805
TextBugger,0.9487632508833922,0.9593639575971732,0.9593639575971732
TextFooler,0.9595092024539877,0.9484662576687116,0.9484662576687116
Underline Accent Marks,0.9475587703435805,0.9475587703435805,0.9475587703435805
Unicode Tags Smuggling,0.9475587703435805,1.0,0.9475587703435805
Upside Down Text,0.9475587703435805,1.0,1.0
Zero Width,0.9475587703435805,0.9475587703435805,0.9475587703435805
